Sort,Sound_Category,Sound_Label,Sound_Source,Sound_FileName
1,Ambience_Sounds,crowd_talking,heather,AMBIENCES1_carnival_atmosphere_6s
2,Ambience_Sounds,crowd_talking,heather,AMBIENCES3_crowd_talking_6s
3,Ambience_Sounds,cafe_chatter,heather,AMBIENCES2_coffee_shop_6s
4,Ambience_Sounds,cafe_chatter,kumar,BusyCafe_6s
5,Ambience_Sounds,kids_playing_in_gym,heather,AMBIENCES4_kids_playing_in_gym_6s
6,Ambience_Sounds,radio_static,heather,MISC6_radio_static_6s
7,Animal_Sounds,dog_barking,heather,ANIMALS4_dog_barking_6s
8,Animal_Sounds,dog_barking,kumar,MultipleDogsBarking_6s
9,Animal_Sounds,dog_drinking,heather,ANIMALS5_dogdrink6sec_RMS_stereo_Hz
10,Animal_Sounds,dog_drinking,heather,ANIMALS6_dog_drinking_close_up_6s
11,Animal_Sounds,dog_wimpering,heather,ANIMALS8_small_dog_wimper_series_6s
12,Animal_Sounds,bees_buzzing,kumar,Buzzer_6s
13,Animal_Sounds,bees_buzzing,kumar,BuzzingBees_6s
14,Animal_Sounds,animal_growling,heather,ANIMALS1_animal_squealing_6s
15,Animal_Sounds,animal_growling,heather,ANIMALS7_dog_growling_6s
16,Animal_Sounds,bird_chirping,heather,ANIMALS2_bird6sec_RMS_stereo_Hz
17,Animal_Sounds,crow_cawing,heather,ANIMALS3_crow6sec_RMS_stereo_Hz
18,Animal_Sounds,frog_croaking,heather,ANIMALS9_frog6sec_RMS_stereo_Hz
19,Animal_Sounds,rodent_squeaking,heather,ANIMALS10_mouse_squeaking_6s
20,Crying_or_Screaming,baby_crying,heather,BABIES3_babies_cry_6s
21,Crying_or_Screaming,baby_crying,kumar,BabyCrying_6s
22,Crying_or_Screaming,baby_crying,kumar,MultipleBabiesCrying_6s
23,Crying_or_Screaming,baby_crying,kumar,ToddlerCrying_6s
24,Crying_or_Screaming,adult_crying,kumar,FemaleCrying_6s
25,Crying_or_Screaming,adult_crying,kumar,MaleCrying_6s
26,Crying_or_Screaming,adult_screaming,kumar,FemaleScream_6s
27,Footsteps_or_Handclaps,footsteps,heather,FOOTSTEPS1_dancing_the_charleston_6s
28,Footsteps_or_Handclaps,footsteps,heather,FOOTSTEPS2_dress_shoes_on_stairs_concrete_6s
29,Footsteps_or_Handclaps,footsteps,heather,FOOTSTEPS3_flip_flops_on_wood_6s
30,Footsteps_or_Handclaps,footsteps,heather,FOOTSTEPS4_heels6sec_RMS_stereo_Hz
31,Footsteps_or_Handclaps,footsteps,heather,FOOTSTEPS5_water_walk_series_sweetener_6s
32,Footsteps_or_Handclaps,footsteps,heather,FOOTSTEPS6_run_on_concrete_6s
33,Footsteps_or_Handclaps,hands_clapping,heather,MISC4_hand_claps_close_6s
34,Household,alarm_clock,kumar,AlarmClock_6s
35,Household,teeth_brushing,kumar,BrushingTeeth_6s
36,Household,fan_blowing,kumar,FanSound_6s
37,Household,hairdryer,kumar,HairDryerSound_6s
38,Household,hairdryer,heather,HOUSEHOLD10_hairdryer_6s
39,Household,phone_ringing,kumar,PhoneRinging_6s
40,Household,toilet_flushing,kumar,ToiletFlush_6s
41,Household,vacuum_cleaner,kumar,VaccuumCleaner_6s
42,Household,washing_machine,kumar,WashingMachine_6s
43,Household,clock_ticking,heather,HOUSEHOLD4_clock15sec_RMS_stereo_Hz_6s
44,Household,light_switch,heather,HOUSEHOLD11_wall_light_switch_close_6s
45,Household,porch_sweeping,heather,HOUSEHOLD3_sweeping_wooden_porch_6s
46,Household,electric_shaver,heather,HOUSEHOLD8_hair_clippers_cutting_6s
47,Household,door_closing,heather,HOUSEHOLD6_door_opening_closing_6s
48,Household,door_closing,heather,MISC7_wood_creak_on_old_ship_series_6s
49,Household,drawer_closing,heather,HOUSEHOLD7_drawer_rolling_in_out_6s
50,Household,card_dealing,heather,MISC1_card_dealing_6s
51,Household,dial_turning,heather,MISC2_dial_turning_6s
52,Household,bed_sheet_fluffing,heather,HOUSEHOLD1_punch_cloth_series_6s
53,Kitchen,knife_chopping,FOAMS,87506_processed
54,Kitchen,knife_chopping,FOAMS,87984_processed
55,Kitchen,knife_chopping,FOAMS,272223_processed
56,Kitchen,knife_chopping,FOAMS,419998_processed
57,Kitchen,knife_chopping,FOAMS,539291_processed
58,Kitchen,knife_chopping,heather,KITCHEN7_knife_cutting_and_rattle_6s
59,Kitchen,knife_chopping,heather,KITCHEN2_celerychop6sec_RMS_stereo_Hz
60,Kitchen,knife_chopping,heather,KITCHEN4_cutting_fruit_6s
61,Kitchen,kettle_boiling,heather,HOUSEHOLD9_gas_lamp_flickering_6s
62,Kitchen,kettle_boiling,kumar,KettleBoiling_6s
63,Kitchen,silverware_clinking,kumar,CutlerySounds_6s
64,Kitchen,silverware_clinking,heather,KITCHEN9_silverware_on_table_6s
65,Kitchen,silverware_clinking,heather,KITCHEN11_stirring_liquid_in_glass_6s
66,Kitchen,dishware_clinking,heather,KITCHEN1_bowls_on_table_6s
67,Kitchen,dishware_clinking,heather,KITCHEN3_load_dishwasher_6s
68,Kitchen,vegetable_peeling,heather,KITCHEN8_peeling_food_with_peeler_6s
69,Kitchen,ice_rattling,heather,KITCHEN6_floating_ice_in_a_glass_6s
70,Kitchen,scrubbing_pot,heather,RUBWIPE3_scrubbing_metal_6s
71,Metal_Sounds,cans_clinking,heather,HOUSEHOLD2_bottles_empty_far_6s
72,Metal_Sounds,cans_clinking,heather,METAL1_aluminum_can_crunch_series_6s
73,Metal_Sounds,drilling,kumar,DentistDrill_6s
74,Metal_Sounds,drilling,heather,OUTDOORS4_drill_motor_series_6s
75,Metal_Sounds,metal_scraping,heather,HOUSEHOLD5_hanger_in_closet_6s
76,Metal_Sounds,nail_clipping,heather,HOUSEHOLD12_nailclip6sec_RMS_stereo_Hz
77,Metal_Sounds,metal_clinking,heather,METAL3_coins_shuffling_6s
78,Metal_Sounds,metal_striking,heather,METAL2_metal_strike_on_wood_6s
79,Metal_Sounds,metal_scraping,heather,KITCHEN12_metal_spoon_scrapes_pot_6s
80,Metal_Sounds,metal_clinking,heather,METAL4_chain_on_metal_post_6s
81,Metal_Sounds,swing_squeaking,heather,OUTDOORS10_swing6sec_RMS_stereo_Hz
82,Nasal_Sounds,nose_breathing,heather,ORALNASAL1_human_breathing_6s
83,Nasal_Sounds,nose_breathing,heather,ORALNASAL11_human_breathing_nose_6s
84,Nasal_Sounds,snoring,heather,ORALNASAL22_male_sick_breathing_6s
85,Nasal_Sounds,snoring,heather,ORALNASAL21_snore6sec_RMS_stereo_Hz
86,Nasal_Sounds,sniffling,heather,ORALNASAL18_sniffle6sec_RMS_stereo_Hz
87,Nasal_Sounds,sniffling,heather,ORALNASAL19_human_nose_sniffing_6s
88,Nasal_Sounds,sniffling,heather,ORALNASAL20_male_sniffles_6s
89,Nasal_Sounds,sniffling,kumar,Sniffing_6s
90,Nasal_Sounds,sneezing,heather,ORALNASAL16_sneeze6sec_RMS_stereo_Hz
91,Nasal_Sounds,sneezing,heather,ORALNASAL17_male_sneezing_into_arm_6s
92,Nature_Sounds,bonfire,heather,NATURE1_daytime_forrest_bonfire_6s
93,Nature_Sounds,leaves_rustling,heather,NATURE2_branch_and_leaves_6s
94,Nature_Sounds,crickets_chirping,heather,NATURE3_crickets_with_distant_traffic_6s
95,Nature_Sounds,thunder,heather,NATURE5_distant_thunder_6s
96,Nature_Sounds,wind,heather,NATURE6_wind6sec_RMS_stereo_Hz
97,Office_Sounds,typing,FOAMS,446021_processed
98,Office_Sounds,typing,FOAMS,469013_processed
99,Office_Sounds,typing,FOAMS,535211_processed
100,Office_Sounds,typing,FOAMS,546032_processed
101,Office_Sounds,typing,FOAMS,624499_processed
102,Office_Sounds,typing,heather,OFFICE3_type6sec_RMS_stereo_Hz
103,Office_Sounds,typing,heather,OFFICE4_keyboard_typing_fast_6s
104,Office_Sounds,typing,heather,OFFICE5_slow_typing_6s
105,Office_Sounds,mouse_clicking,heather,OFFICE1_mouseclick6sec_RMS_stereo_Hz
106,Office_Sounds,mouse_clicking,heather,OFFICE2_click_continuous_6s
107,Office_Sounds,pen_clicking,heather,OFFICE6_penclick6sec_RMS_stereo_Hz
108,Office_Sounds,pen_clicking,heather,OFFICE7_cap_covering_uncovering_6s
109,Office_Sounds,printer,heather,OFFICE8_printer6sec_RMS_stereo_Hz
110,Office_Sounds,scissor_snipping,heather,OFFICE9_scissor_snips_6s
111,Office_Sounds,writing,heather,OFFICE10_write6sec_RMS_stereo_Hz
